Reach,DateTime,elev,width,D50,slope,yield
deposit_downstream,2020-06-07 18:30:00,1576.697862617183,2.1969614206620385,32.148566663594714,0.033244509077730085,514.3553322733958
deposit_downstream,2020-06-07 19:00:00,1576.6971286298133,2.196961448092569,32.168740015990274,0.03323894725094024,512.0460770010915
deposit_downstream,2020-06-07 19:30:00,1576.6963065532502,2.1969614957325287,32.1888906612791,0.0332334217188927,543.2409567229519
deposit_downstream,2020-06-07 20:00:00,1576.69718610781,2.2048985254737525,32.09976561412221,0.033238874747948885,519.0582690493225
deposit_downstream,2020-06-07 20:30:00,1576.69635501332,2.2048985710134423,32.12006390255482,0.03323325405030515,550.4767225107427
deposit_downstream,2020-06-07 21:00:00,1576.6955738646209,2.2048986067946794,32.14116063950856,0.03322740261247693,547.9256663272224
deposit_downstream,2020-06-07 21:30:00,1576.6948878252813,2.2048986233265806,32.16223442612076,0.03322159115067811,511.8082226010131
deposit_downstream,2020-06-07 22:00:00,1576.694067823014,2.204898668763853,32.18246588741012,0.03321608491391775,542.9961599429921
deposit_downstream,2020-06-07 22:30:00,1576.6933881913385,2.2048986853078105,32.20349075478505,0.033210349511314616,507.1273928728205
deposit_downstream,2020-06-07 23:00:00,1576.6939492762724,2.212835792923774,32.11231737440201,0.033216165345760613,621.6847870647081
deposit_downstream,2020-06-07 23:30:00,1576.6931720100304,2.2128358233432883,32.13515392132677,0.033209791829896126,582.5761709244732
deposit_downstream,2020-06-08 00:00:00,1576.6925353095316,2.2128358268137274,32.15714207078515,0.03320372954342602,511.4225087822237
deposit_downstream,2020-06-08 00:30:00,1576.6915277404967,2.2128359275242513,32.177453863798995,0.03319824055330801,613.1949142371536
deposit_downstream,2020-06-08 01:00:00,1576.690761481077,2.212835957619045,32.200211534919,0.03319199651475852,574.501649488905
deposit_downstream,2020-06-08 01:30:00,1576.6899507778462,2.2128360041129884,32.222120377461394,0.03318605535325883,571.8343351717547
deposit_downstream,2020-06-08 02:00:00,1576.6907142296618,2.220773059622382,32.13088953677272,0.03319144924810157,582.1393504713454
deposit_downstream,2020-06-08 02:30:00,1576.6898946077893,2.2207731041787078,32.15297606211911,0.0331854011747439,579.3611476719557
deposit_downstream,2020-06-08 03:00:00,1576.6889828616208,2.2207731797596697,32.175036406618055,0.033179395778473994,612.5093152029499
deposit_downstream,2020-06-08 03:30:00,1576.6881235637563,2.2207732397376,32.19789954510585,0.033173169489543054,609.5773119350583
deposit_downstream,2020-06-08 04:00:00,1576.687363768426,2.220773268454611,32.22073323808218,0.033166985733330386,571.0052959573851
deposit_downstream,2020-06-08 04:30:00,1576.6882292144564,2.228710299395908,32.12934055983098,0.033172435453508745,546.4290075161404
deposit_downstream,2020-06-08 05:00:00,1576.6874589439155,2.2287103306426324,32.15067611763401,0.033166673836341275,543.8406326818588
deposit_downstream,2020-06-08 05:30:00,1576.6865989726818,2.2287103841279605,32.17198551986874,0.033160953099493934,575.975700615728
deposit_downstream,2020-06-08 06:00:00,1576.6857898494247,2.2287104264318907,32.19410775613205,0.033155008801017315,573.2360588225449
deposit_downstream,2020-06-08 06:30:00,1576.6850773216843,2.2287104463317253,32.21620075572893,0.03314910545263572,536.0454837740826
deposit_downstream,2020-06-08 07:00:00,1576.6842292030958,2.228710499880068,32.23742553478969,0.033143502200166784,567.9451998491694
deposit_downstream,2020-06-08 07:30:00,1576.6851063292786,2.2366475272609985,32.14457025045041,0.033149053530268514,543.5932343843397
deposit_downstream,2020-06-08 08:00:00,1576.6843418536198,2.2366475570875433,32.165962058785254,0.033143345507622296,541.0096730930936
deposit_downstream,2020-06-08 08:30:00,1576.6835810171945,2.2366475867571016,32.18732614815358,0.033137677998782644,538.4536597753602
deposit_downstream,2020-06-08 09:00:00,1576.682823781042,2.2366476164387956,32.20866153083582,0.03313204988441939,535.9248908101157
deposit_downstream,2020-06-08 09:30:00,1576.682159853727,2.2366476301447067,32.22996723720216,0.03312646009847022,500.2263971941785
deposit_downstream,2020-06-08 10:00:00,1576.6814540436596,2.2366476518506393,32.250397419350655,0.033121166200863035,497.9434348292562
deposit_downstream,2020-06-08 10:30:00,1576.6823412552865,2.2445846760848895,32.154764863326285,0.03312732475479177,507.8191433874212
deposit_downstream,2020-06-08 11:00:00,1576.6817140968049,2.2445846855668714,32.17535542880298,0.03312192663831642,473.2005307434028
deposit_downstream,2020-06-08 11:30:00,1576.680958634861,2.244584711924449,32.19506419870402,0.033116827930332646,503.17245356932114
deposit_downstream,2020-06-08 12:00:00,1576.6802504385155,2.2445847326292347,32.21559857402157,0.033111503618566136,500.83818082441053
deposit_downstream,2020-06-08 12:30:00,1576.6796323281449,2.244584742005576,32.236103482645284,0.03310621517125326,466.5819467559915
deposit_downstream,2020-06-08 13:00:00,1576.678973572933,2.2445847570547692,32.255727116338605,0.033101218871303295,464.4795023396167
deposit_downstream,2020-06-08 13:30:00,1576.6799138986394,2.2525217680500895,32.158642528246126,0.033107708728575554,474.0669809926119
deposit_downstream,2020-06-08 14:00:00,1576.6791589510788,2.2525217932883077,32.17841810401025,0.033102610145275824,504.07084282571503
deposit_downstream,2020-06-08 14:30:00,1576.6784512988706,2.2525218130491877,32.1990258331421,0.03309728674554195,501.7069099972969
deposit_downstream,2020-06-08 15:00:00,1576.6777469811577,2.252521832818726,32.219604104875536,0.03309200005323842,499.36777772524357
deposit_downstream,2020-06-08 15:30:00,1576.6770459627965,2.252521852597042,32.24015206428077,0.03308674910787796,497.0531636591867
deposit_downstream,2020-06-08 16:00:00,1576.6763482090478,2.252521872384249,32.26066887294768,0.03308153299188292,494.76278860986827
deposit_downstream,2020-06-08 16:30:00,1576.6773406614464,2.260458874162862,32.16374468649368,0.03308784060123465,472.5184098848032
deposit_downstream,2020-06-08 17:00:00,1576.6765899459206,2.2604588982647584,32.183557593959286,0.0330827783267744,502.47371984674305
deposit_downstream,2020-06-08 17:30:00,1576.675886365469,2.26045891713569,32.20420726759815,0.03307749262734606,500.106337640574
deposit_downstream,2020-06-08 18:00:00,1576.6751861199034,2.2604589360151297,32.22482660738117,0.03307224355482093,497.7639403651072
deposit_downstream,2020-06-08 18:30:00,1576.6744891738701,2.260458954903191,32.24541475721954,0.033067030149440346,495.4462422967098
deposit_downstream,2020-06-08 19:00:00,1576.6737954924242,2.260458973799981,32.26597087789987,0.03306185149429593,493.1529608966893
deposit_downstream,2020-06-08 19:30:00,1576.6730168068725,2.2604590066449703,32.28649414705327,0.03305670671294221,523.755035440506
deposit_downstream,2020-06-08 20:00:00,1576.673890387243,2.2683960241579033,32.1882109317571,0.03306287898559135,534.3001917075818
deposit_downstream,2020-06-08 20:30:00,1576.6730550181776,2.2683960667682728,32.209778818758735,0.033057367249063684,566.1552937271246
deposit_downstream,2020-06-08 21:00:00,1576.6723609639544,2.26839608255003,32.23218494164987,0.03305163909193089,529.0794768990348
deposit_downstream,2020-06-08 21:30:00,1576.6714399988246,2.2683961487907847,32.253685801017234,0.03304620556860742,596.2030684552649
deposit_downstream,2020-06-08 22:00:00,1576.6705204134755,2.2683962257492936,32.276887714325,0.03304030534484771,629.8123081313136
deposit_downstream,2020-06-08 22:30:00,1576.669748543801,2.2683962555394817,32.300913430483234,0.03303419836016365,590.3079379579508
deposit_downstream,2020-06-08 23:00:00,1576.6705402574275,2.276333298571844,32.20289393068083,0.03303995714880099,601.701943371524
deposit_downstream,2020-06-08 23:30:00,1576.669614608521,2.2763333722386534,32.2262657493436,0.03303397620170376,635.4545341580643
deposit_downstream,2020-06-09 00:00:00,1576.6687417981136,2.2763334306846317,32.25047423358632,0.0330277892298701,632.254286012418
deposit_downstream,2020-06-09 00:30:00,1576.667968799716,2.2763334591131,32.27464129416564,0.033021647698153085,592.5750007092212
deposit_downstream,2020-06-09 01:00:00,1576.6670568308614,2.276333532639465,32.29789416909286,0.03301579749481501,626.0806886316005
deposit_downstream,2020-06-09 01:30:00,1576.6679044177577,2.2842705649246704,32.200617049143794,0.03302135716390073,600.9874860654986
deposit_downstream,2020-06-09 02:00:00,1576.6670778812681,2.2842706066110563,32.22407440444166,0.033015387962046894,597.9626577133419
deposit_downstream,2020-06-09 02:30:00,1576.6661600580917,2.2842706767689043,32.247492996742956,0.0330094642762317,631.6102397422169
deposit_downstream,2020-06-09 03:00:00,1576.6652947757987,2.2842707326179967,32.27175220083896,0.0330033361317515,628.4255327722384
deposit_downstream,2020-06-09 03:30:00,1576.6644339100253,2.284270788495331,32.295967753184314,0.032997253208449505,625.2792663323966
deposit_downstream,2020-06-09 04:00:00,1576.665193815189,2.292207849091608,32.19854418595347,0.03300286586001458,637.0877180171079
deposit_downstream,2020-06-09 04:30:00,1576.6645119180346,2.292207854627732,32.22297127628881,0.032996661548148835,561.5354715162089
deposit_downstream,2020-06-09 05:00:00,1576.6638292906039,2.292207868372583,32.24557625541745,0.03299100844467888,524.5547095013436
deposit_downstream,2020-06-09 05:30:00,1576.6631047610908,2.2922078898860576,32.26725319336379,0.03298564973781787,522.0160172541475
deposit_downstream,2020-06-09 06:00:00,1576.662293989374,2.2922079269493456,32.28889259449627,0.032980329711033166,553.4949305807885
deposit_downstream,2020-06-09 06:30:00,1576.66162168071,2.2922079407155644,32.31138000645416,0.03297479833636285,516.9236445903704
deposit_downstream,2020-06-09 07:00:00,1576.6626223523542,2.3001449548304205,32.21005273837609,0.03298124831523387,494.62438562852935
deposit_downstream,2020-06-09 07:30:00,1576.6619387314763,2.30014496991641,32.23094382002385,0.03297610616770156,492.23418679396093
deposit_downstream,2020-06-09 08:00:00,1576.661343237275,2.300144976702249,32.25180029097382,0.032971002125801965,458.1533831910469
deposit_downstream,2020-06-09 08:30:00,1576.6606236033801,2.3001449958290827,32.27173029026171,0.032966185676041856,487.6278316303634
deposit_downstream,2020-06-09 09:00:00,1576.659949767435,2.300145010852592,32.29251567811069,0.03296115382791182,485.3137858942251
deposit_downstream,2020-06-09 09:30:00,1576.659363132581,2.3001450176490637,32.313263950413386,0.0329561570789581,451.59767518768035
deposit_downstream,2020-06-09 10:00:00,1576.6587371948092,2.3001450285664715,32.33308731052453,0.032951440714758605,449.5188176114035
deposit_downstream,2020-06-09 10:30:00,1576.6598313875281,2.308082029489636,32.22820409541256,0.032958493397364036,429.1590497954998
deposit_downstream,2020-06-09 11:00:00,1576.6592363537002,2.3080820370420407,32.24731273226571,0.032953915828934886,427.1617991483682
deposit_downstream,2020-06-09 11:30:00,1576.658644119143,2.3080820445554973,32.266389314389826,0.032949370592016004,425.1849614077704
deposit_downstream,2020-06-09 12:00:00,1576.658054655126,2.308082052072807,32.28543319797342,0.032944856867054985,423.22831448988643
deposit_downstream,2020-06-09 12:30:00,1576.6574679332348,2.3080820595940055,32.30444375307199,0.0329403738681139,421.2916360550569
deposit_downstream,2020-06-09 13:00:00,1576.6568839253719,2.3080820671191273,32.32342036344218,0.032935920841152794,419.37470526089317
deposit_downstream,2020-06-09 13:30:00,1576.65638044879,2.308082070383623,32.34236242653966,0.03293149706243326,388.6264807621157
deposit_downstream,2020-06-09 14:00:00,1576.6574829079543,2.3160190643299523,32.23485043919607,0.03293911539569955,398.17615056071986
deposit_downstream,2020-06-09 14:30:00,1576.6569308937292,2.316019069504141,32.25307542145724,0.03293482724992008,396.35543089319856
deposit_downstream,2020-06-09 15:00:00,1576.6563029555334,2.31601907872094,32.27126955843888,0.03293056868551663,423.6999488526246
deposit_downstream,2020-06-09 15:30:00,1576.655795486907,2.316019081836556,32.2903223835209,0.03292609521785745,392.6853415880398
deposit_downstream,2020-06-09 16:00:00,1576.6552511639316,2.316019086989446,32.308452429400226,0.032921894523119145,390.9188682627683
deposit_downstream,2020-06-09 16:30:00,1576.6547093158717,2.316019092145033,32.32654998712714,0.0329177213322596,389.16985193353844
deposit_downstream,2020-06-09 17:00:00,1576.6541699181691,2.316019097303337,32.344614542168536,0.032913575008520435,387.4381072073467
deposit_downstream,2020-06-09 17:30:00,1576.653555650262,2.3160191065442555,32.36264559162003,0.03290945493906555,414.45465020397427
